Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
CMR,Cameroon,Africa,131,131,120,120,,129,109,129,111,112,83,93,98,88,38.13,39.63,38.13,34.78,,,,,,,27.08,http://fr.rsf.org/cameroun.html,http://en.rsf.org/cameroon.html,http://es.rsf.org/camerun.html,0,0,,,
CAN,Canada,Americas,18,18,20,20,,21,19,13,18,16,21,18,10,5,10.99,10.99,10.99,12.69,,,,,,,,http://fr.rsf.org/canada.html,http://en.rsf.org/canada.html,http://es.rsf.org/canada.html,0,0,,,
CPV,Cape Verde,Africa,24,24,25,25,,26,44,36,45,45,29,38,47,46,14.32,20.69,14.32,14.33,,,,,,,,http://fr.rsf.org/cap-vert.html,http://en.rsf.org/cape-verde.html,http://es.rsf.org/cabo-verde.html,0,0,,,
CHL,Chile,Americas,58,58,60,60,,33,39,56,39,49,50,42,37,24,25.8,22.33,25.8,26.24,,,,,,,25.65,http://fr.rsf.org/chili.html,http://en.rsf.org/chile.html,http://es.rsf.org/chile.html,0,0,,,
CHN,China,Asia-Pacific,175,175,173,173,,171,168,167,163,163,159,162,161,138,72.91,69.53,72.91,73.07,,,,,,,89.64,http://fr.rsf.org/chine.html,http://en.rsf.org/china.html,http://en.rsf.org/china.html,0,0,,,
CYP,Cyprus,European Union & the Balkans,25,25,24,24,,45,25,31,45,30,25,,83,,14.45,16.52,14.45,13.83,,,,,,,,http://fr.rsf.org/chypre.html,http://en.rsf.org/cyprus.html,http://es.rsf.org/chipre.html,0,0,,,
NCYP,Cyprus North,European Union & the Balkans,83,83,94,94,,61,51,53,58,62,53,81,,,29.54,28.33,29.54,29.34,,,,,,,,http://fr.rsf.org/chypre.html,http://en.rsf.org/cyprus.html,http://es.rsf.org/chipre.html,0,0,,,
COL,Colombia,Americas,126,126,129,129,,145,126,126,126,131,128,134,147,114,36.68,34.96,36.68,37.48,,,,,,,55.53,http://fr.rsf.org/colombie.html,http://en.rsf.org/colombia.html,http://es.rsf.org/colombia.html,2,0,,,
COM,Comoros,Africa,53,53,51,51,,70,82,89,96,93,88,91,79,58,24.52,24.52,24.52,24.52,,,,,,,,http://fr.rsf.org/comores.html,http://en.rsf.org/comores.html,http://es.rsf.org/comoras.html,0,0,,,
COG,Republic of the Congo,Africa,82,82,76,76,,114,116,92,80,73,71,69,63,69,29.44,33,29.44,28.2,,,,,,,16.09,http://fr.rsf.org/congo.html,http://en.rsf.org/congo.html,http://es.rsf.org/congo.html,0,0,,,
PRK,Democratic People's Republic of Korea,Asia-Pacific,179,179,178,178,,177,174,172,168,168,167,167,166,139,81.96,83.25,81.96,83.9,,,,,,,51.87,http://fr.rsf.org/coree-du-nord.html,http://en.rsf.org/north-korea.html,http://en.rsf.org/north-korea.html,0,0,,,
KOR,Republic of Korea,Asia-Pacific,57,57,50,50,,42,69,47,39,31,34,48,49,39,25.66,26.55,25.66,24.48,,,,,,,16.09,http://fr.rsf.org/coree-du-sud.html,http://en.rsf.org/south-korea.html,http://en.rsf.org/south-korea.html,0,0,,,
CRI,Costa Rica,Americas,21,21,18,18,,29,30,22,21,29,41,35,21,15,12.23,12.26,12.23,12.08,,,,,,,,http://fr.rsf.org/costa-rica.html,http://en.rsf.org/costa-rica.html,http://es.rsf.org/costa-rica.html,0,0,,,
CIV,Côte d'Ivoire,Africa,101,101,96,96,,118,104,109,94,98,144,149,137,55,31.63,30.45,31.63,29.77,,,,,,,23.98,http://fr.rsf.org/cote-d-ivoire.html,http://en.rsf.org/cote-d-ivoire.html,http://es.rsf.org/costa-de-marfil.html,0,0,,,
HRV,Croatia,European Union & the Balkans,65,65,64,64,,62,78,45,41,53,56,54,69,33,26.82,26.12,26.82,26.61,,,,,,,24.85,http://fr.rsf.org/croatie.html,http://en.rsf.org/croatia.html,http://en.rsf.org/croatia.html,0,0,,,
CUB,Cuba,Americas,170,170,171,171,,166,170,169,165,165,161,166,165,134,70.92,70.21,70.92,71.64,,,,,,,52.26,http://fr.rsf.org/cuba.html,http://en.rsf.org/cuba.html,http://es.rsf.org/cuba.html,0,0,,,
